Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_0208+0452.160908.fits,J0208+0452,160908, 01:58:37.90, 02:27:19.1,M4.0,0.5,,L2.5,0.648204127319589,,,,
spex_prism_0741-0359_170216.fits,J0741-0359,170216, 07:41:03.43,-03:59:47.2,M8.0,0.5111026121306763,INT-G,L1.7,0.5850526966179864,M9.5,0.3757296688563191,L1.3,0.790829800234531
spex_prism_0107-1314_160930.fits,J0107-1314,160930, 01:07:38.34,-13:14:15.7,L7.0,0.5010761282473576,VL-G,L4.3:,1.2695633490429161,L1.8:,1.0609748353203357,L4.4:,1.0635131830050835
spex_prism_0209+0146_160908.fits,J0209+0146,160908, 02:09:19.94, 01:46:18.6,M4.0,0.5,,L2.8,0.6476331523579433,,,,
spex_prism_0933-0212_170216.fits,J0933-0212,170216, 09:33:10.45,-02:12:11.6,L1.0,0.5473104337780142,FLD-G,L2.0,0.6062976491681331,L0.1,0.43063661350590776,L0.7,0.7947638257599613
spex_prism_1618-2504_170213.fits,J1618-2504,170213, 16:18:11.92,-25:04:51.1,L0.5,0.8661508575079726,VL-G,L1.5,0.5860969440667165,M8.6,0.3865471128267893,M9.3,0.7925318303101136
spex_prism_0640-2352_170216.fits,J0640-2352,170216, 06:40:25.59,-23:52:20.9,L6.0,0.5438889238541201,FLD-G,L5.7,0.585109308805108,L3.8,0.42866831331548705,L3.4,0.7952416615861936
spex_prism_0431+2605_170102.fits,J0431+2605,170102, 04:31:55.51, 26:05:50.8,M5.0:,1.0671032671804297,,L8.2:,1.111027256837,,,,
spex_prism_0423+2641_161012.fits,J0423+2641,161012, 04:23:08.54, 26:41:16.3,L7.0,0.5161124727219311,VL-G,L4.5,0.5581073803518786,M6.7,0.3356948034450958,M9.8:,1.0286374473673083
spex_prism_1829-0203_170903.fits,J1829-0203,170903, 18:29:49.17,-02:03:06.8,L7.0,0.5898476112981229,VL-G,T1.2,1.3709158609137995,L1.4,0.8648406661105675,,
spex_prism_2324+5035_160930.fits,J2324+5035,160930, 23:24:52.88, 50:35:30.4,L6.0:,1.3956803782745146,FLD-G,L5.7:,1.7975969321815106,L0.6:,1.465362258998966,L3.6::,2.3411116071840814
spex_prism_0429+2447_170929.fits,J0429+2447,170929, 04:29:46.40, 24:47:10.5,M9.5,0.9879540124169076,VL-G,L3.1,0.8964045356962919,M6.6:,1.5395129422065004,,
spex_prism_2333+0251_160928.fits,J2333+0251,160928, 23:33:33.12, 02:51:32.6,L7.0,0.5698124069542481,INT-G,L5.4,0.5857251719752159,L3.5,0.4530431120384995,L3.5,0.793301049025433
spex_prism_0358+3153_161012.fits,J0358+3153,161012, 03:58:34.43, 31:53:35.6,M8.0,0.5,VL-G,L1.4,0.6782460962886353,M6.5,0.4358457193584527,,
spex_prism_0414+2810_170105.fits,J0414+2810,170105, 04:14:44.32, 28:10:38.8,L7.0:,1.00819003506999,VL-G,L5.7,0.6654055893933546,M6.3,0.4416209893151356,,
spex_prism_0456+0315_161031.fits,J0456+0315,161031, 04:56:49.30, 03:15:16.3,M8.5,0.8645935947813385,INT-G,L1.2,0.5827616432125298,M9.1,0.3886914795032885,M9.9,0.7945882876572408
